"","Country","MYEAR","DATE","Latitude","Longitude","Species","NOINP","MATRX","Value.mgperkg","PARAM","BASIS","QFLAG","DETLI.mgperkg","LMQNT","UNCRT"
"18118","Norway",2008,"01/10/2008",59.88366667,10.711,"Mytilus edulis",100,"SB",0.59,"Pb","W","",NA,NA,NA
"18119","Norway",2008,"01/10/2008",59.88366667,10.711,"Mytilus edulis",50,"SB",0.63,"Pb","W","",NA,NA,NA
"18120","Norway",2008,"19/11/2008",58.73083333,9.272,"Mytilus edulis",100,"SB",0.014,"Hg","W","",NA,NA,NA
"18121","Norway",2008,"19/11/2008",58.73083333,9.272,"Mytilus edulis",50,"SB",0.014,"Hg","W","",NA,NA,NA
"18122","Norway",2008,"03/09/2008",60.42083333,6.40533333,"Mytilus edulis",100,"SB",0.02,"Hg","W","",NA,NA,NA
"18123","Norway",2008,"03/09/2008",60.42083333,6.40533333,"Mytilus edulis",50,"SB",0.022,"Hg","W","",NA,NA,NA
"18124","Norway",2008,"03/09/2008",60.42083333,6.40533333,"Mytilus edulis",50,"SB",0.024,"Hg","W","",NA,NA,NA
"18125","Norway",2008,"04/09/2008",59.984,5.7545,"Mytilus edulis",100,"SB",0.016,"Hg","W","",NA,NA,NA
"18126","Norway",2008,"04/09/2008",59.984,5.7545,"Mytilus edulis",50,"SB",0.014,"Hg","W","",NA,NA,NA
"18127","Norway",2008,"04/09/2008",59.984,5.7545,"Mytilus edulis",50,"SB",0.015,"Hg","W","",NA,NA,NA
"18128","Norway",2008,"14/10/2008",58.52366667,8.94183333,"Mytilus edulis",86,"SB",0.012,"Hg","W","",NA,NA,NA
"18129","Norway",2008,"14/10/2008",58.52366667,8.94183333,"Mytilus edulis",50,"SB",0.017,"Hg","W","",NA,NA,NA
"18130","Norway",2008,"14/10/2008",58.52366667,8.94183333,"Mytilus edulis",50,"SB",0.015,"Hg","W","",NA,NA,NA
"18131","Norway",2008,"22/09/2008",68.24783333,14.66683333,"Mytilus edulis",100,"SB",0.013,"Hg","W","",NA,NA,NA
"18132","Norway",2008,"22/09/2008",68.24783333,14.66683333,"Mytilus edulis",50,"SB",0.013,"Hg","W","",NA,NA,NA
"18133","Norway",2008,"22/09/2008",68.24783333,14.66683333,"Mytilus edulis",50,"SB",0.012,"Hg","W","",NA,NA,NA
"18134","Norway",2008,"01/12/2008",59.6155,10.6515,"Mytilus edulis",100,"SB",0.012,"Hg","W","",NA,NA,NA
"18135","Norway",2008,"01/12/2008",59.6155,10.6515,"Mytilus edulis",50,"SB",0.013,"Hg","W","",NA,NA,NA
"18136","Norway",2008,"01/12/2008",59.6155,10.6515,"Mytilus edulis",50,"SB",0.014,"Hg","W","",NA,NA,NA
"18137","Norway",2008,"19/11/2008",58.73083333,9.272,"Mytilus edulis",15,"SB",0.014,"Hg","W","",NA,NA,NA
"18138","Norway",2008,"19/11/2008",58.73083333,9.272,"Mytilus edulis",15,"SB",0.017,"Hg","W","",NA,NA,NA
"18139","Norway",2008,"11/09/2008",60.08383333,6.5505,"Mytilus edulis",20,"SB",0.036,"Hg","W","",NA,NA,NA
"18140","Norway",2008,"01/10/2008",59.88366667,10.711,"Mytilus edulis",100,"SB",0.018,"Hg","W","",NA,NA,NA
"18141","Norway",2008,"01/10/2008",59.88366667,10.711,"Mytilus edulis",100,"SB",0.017,"Hg","W","",NA,NA,NA
"18142","Norway",2008,"01/10/2008",59.88366667,10.711,"Mytilus edulis",50,"SB",0.016,"Hg","W","",NA,NA,NA
"18143","Norway",2008,"05/09/2008",59.58366667,5.14583333,"Mytilus edulis",100,"SB",0.019,"Hg","W","",NA,NA,NA
"18144","Norway",2008,"05/09/2008",59.58366667,5.14583333,"Mytilus edulis",50,"SB",0.018,"Hg","W","",NA,NA,NA
"18145","Norway",2008,"05/09/2008",59.58366667,5.14583333,"Mytilus edulis",50,"SB",0.019,"Hg","W","",NA,NA,NA
"18146","Norway",2008,"11/09/2008",60.08383333,6.5505,"Mytilus edulis",20,"SB",0.037,"Hg","W","",NA,NA,NA
"18147","Norway",2008,"11/09/2008",60.08383333,6.5505,"Mytilus edulis",20,"SB",0.04,"Hg","W","",NA,NA,NA
"18148","Norway",2008,"01/09/2008",60.09666667,6.53283333,"Mytilus edulis",100,"SB",0.02,"Hg","W","",NA,NA,NA
"18149","Norway",2008,"01/09/2008",60.09666667,6.53283333,"Mytilus edulis",50,"SB",0.018,"Hg","W","",NA,NA,NA
"18150","Norway",2008,"01/09/2008",60.09666667,6.53283333,"Mytilus edulis",50,"SB",0.027,"Hg","W","",NA,NA,NA
"18151","Norway",2008,"11/11/2008",59.48816667,10.498,"Mytilus edulis",100,"SB",0.014,"Hg","W","",NA,NA,NA
"18152","Norway",2008,"11/11/2008",59.48816667,10.498,"Mytilus edulis",50,"SB",0.012,"Hg","W","",NA,NA,NA
