"Month.Year","Conc","estimated"
2009-05-01,0.0286,0
2009-06-01,0.09,0
2009-07-01,0.09,0
2009-08-01,0.128,0
2009-09-01,0.196,0
2009-10-01,0.183,0
2009-11-01,0.1582,0
2009-12-01,0.1555,0
2010-01-01,0.19325,1
2010-02-01,0.231,0
2010-03-01,0.164,0
2010-04-01,0.139333333333333,1
2010-05-01,0.114666666666667,1
2010-06-01,0.09,0
2010-07-01,0.139,0
2010-08-01,0.175,0
2010-09-01,0.175,0
2010-10-01,0.195,0
2010-11-01,0.11,0
2010-12-01,0.07,0
2011-01-01,0.2205,0
2011-02-01,0.221,0
2011-03-01,0.1485,0
2011-04-01,0.120666666666667,1
2011-05-01,0.0928333333333333,1
2011-06-01,0.065,0
2011-07-01,0.07,0
2011-08-01,0.177,0
2011-09-01,0.1925,0
2011-10-01,0.195,0
2011-11-01,0.08,0
2011-12-01,0.13,0
2012-01-01,0.09,0
2012-02-01,0.141,0
2012-03-01,0.2455,0
2012-04-01,0.107,0
2012-05-01,0.1348,1
2012-06-01,0.1626,1
2012-07-01,0.1904,1
2012-08-01,0.2182,1
2012-09-01,0.246,0
2012-10-01,0.18,0
2012-11-01,0.09,0
2012-12-01,0.102666666666667,1
2013-01-01,0.115333333333333,1
2013-02-01,0.128,0
2013-03-01,0.18,0
2013-04-01,0.08715,0
2013-05-01,0.0991,1
2013-06-01,0.11105,1
2013-07-01,0.123,0
2013-08-01,0.13,0
2013-09-01,0.14,0
2013-10-01,0.15,0
2013-11-01,0.09,0
2013-12-01,0.08,0
2014-01-01,0.141,0
2014-02-01,0.2725,0
2014-03-01,0.1895,0
2014-04-01,0.2895,0
2014-05-01,0.221,1
2014-06-01,0.1525,1
2014-07-01,0.084,0
2014-08-01,0.072,0
2014-09-01,0.09,0
2014-10-01,0.17,0
2014-11-01,0.08,0
2014-12-01,0.100666666666667,1
2015-01-01,0.121333333333333,1
2015-02-01,0.142,0
2015-03-01,0.1545,0
2015-04-01,0.154,1
2015-05-01,0.1535,1
2015-06-01,0.153,0
2015-07-01,0.099,0
2015-08-01,0.19,0
2015-09-01,0.16,0
2015-10-01,0.18,0
2015-11-01,0.08,0
2015-12-01,0.06,0
2016-01-01,0.2,0
2016-02-01,0.15,0
2016-03-01,0.239,0
2016-04-01,0.250833333333333,1
2016-05-01,0.262666666666667,1
2016-06-01,0.2745,1
2016-07-01,0.286333333333333,1
2016-08-01,0.298166666666667,1
2016-09-01,0.31,0
2016-10-01,0.16,0
2016-11-01,0.0885,0
2016-12-01,0.15,0
2017-01-01,0.16,0
2017-02-01,0.2145,0
2017-03-01,0.139,0
2017-04-01,0.1472,1
2017-05-01,0.1554,1
2017-06-01,0.1636,1
2017-07-01,0.1718,1
2017-08-01,0.18,0
2017-09-01,0.2,0
2017-10-01,0.16,0
2017-11-01,0.14,0
2017-12-01,0.12,0
2018-01-01,0.114,0
2018-02-01,0.16,0
2018-03-01,0.161,0
2018-04-01,0.1538,1
2018-05-01,0.1466,1
2018-06-01,0.1394,1
2018-07-01,0.1322,1
2018-08-01,0.125,0
2018-09-01,0.2,0
2018-10-01,0.1655,0
2018-11-01,0.1,0
2018-12-01,0.1,0
