"","Country","MYEAR","DATE","Latitude","Longitude","Species","NOINP","MATRX","Value.mgperkg","PARAM","BASIS","QFLAG","DETLI.mgperkg","LMQNT","UNCRT"
"8571","Norway",2004,"24/09/2004",59.87066667,5.10583333,"Mytilus edulis",100,"SB",0.13,"Pb","W","",0.04,NA,NA
"8572","Norway",2008,"12/09/2008",59.095,11.13666667,"Mytilus edulis",20,"SB",0.179,"Cd","W","",NA,NA,NA
"8573","Norway",2008,"12/09/2008",59.10183333,11.04483333,"Mytilus edulis",20,"SB",0.265,"Cd","W","",NA,NA,NA
"8574","Norway",2008,"12/09/2008",59.10183333,11.04483333,"Mytilus edulis",20,"SB",0.261,"Cd","W","",NA,NA,NA
"8575","Norway",2008,"22/09/2008",68.24783333,14.66683333,"Mytilus edulis",100,"SB",0.243,"Cd","W","",NA,NA,NA
"8576","Norway",2008,"22/09/2008",68.24783333,14.66683333,"Mytilus edulis",50,"SB",0.242,"Cd","W","",NA,NA,NA
"8577","Norway",2008,"22/09/2008",68.24783333,14.66683333,"Mytilus edulis",50,"SB",0.22,"Cd","W","",NA,NA,NA
"8578","Norway",2004,"29/11/2004",59.02716667,10.5255,"Mytilus edulis",120,"SB",0.13,"Pb","W","",0.04,NA,NA
"8579","Norway",2004,"29/11/2004",59.02716667,10.5255,"Mytilus edulis",120,"SB",0.15,"Pb","W","",0.04,NA,NA
"8580","Norway",2004,"13/09/2004",62.20333333,5.42083333,"Mytilus edulis",50,"SB",0.16,"Pb","W","",0.04,NA,NA
"8581","Norway",2004,"13/09/2004",62.20333333,5.42083333,"Mytilus edulis",50,"SB",0.18,"Pb","W","",0.04,NA,NA
"8582","Norway",2004,"21/09/2004",61.87533333,5.22166667,"Mytilus edulis",50,"SB",0.26,"Pb","W","",0.04,NA,NA
"8583","Norway",2004,"21/09/2004",61.87533333,5.22166667,"Mytilus edulis",50,"SB",0.31,"Pb","W","",0.04,NA,NA
"8584","Norway",2004,"13/09/2004",62.20333333,5.42083333,"Mytilus edulis",100,"SB",0.15,"Pb","W","",0.04,NA,NA
"8585","Norway",2004,"21/09/2004",61.87533333,5.22166667,"Mytilus edulis",100,"SB",0.3,"Pb","W","",0.04,NA,NA
"8586","Norway",2004,"24/08/2004",67.66466667,14.74283333,"Mytilus edulis",50,"SB",0.09,"Pb","W","",0.04,NA,NA
